10_assembly57 | p03 | v0 | r0.84
10_assembly57 | p03 | v1 | r0.53
11_assembly58 | p06 | v0 | r0.82
11_assembly58 | p06 | v1 | r0.81
12_assembly59 | p13 | v0 | r0.75
12_assembly59 | p13 | v1 | r0.59
13_assembly76 | p16 | v0 | r0.72
13_assembly76 | p16 | v1 | r0.87
14_assembly60 | p06 | v0 | r0.86
14_assembly60 | p06 | v1 | r0.56
15_assembly61 | p11 | v0 | r0.7
15_assembly61 | p11 | v1 | r0.84
16_assembly62 | p12 | v0 | r0.73
16_assembly62 | p12 | v1 | r0.83
17_assembly63 | p12 | v0 | r0.86
17_assembly63 | p12 | v1 | r0.52
18_assembly64 | p07 | v0 | r0.73
18_assembly64 | p07 | v1 | r0.53
19_assembly65 | p03 | v0 | r0.78
19_assembly65 | p03 | v1 | r0.77
1_assembly50 | p06 | v0 | r0.88
1_assembly50 | p06 | v1 | r0.79
20_assembly66 | p00 | v0 | r0.58
20_assembly66 | p00 | v1 | r0.73
21_assembly67 | p15 | v0 | r0.64
21_assembly67 | p15 | v1 | r0.59
22_assembly68 | p18 | v0 | r0.63
22_assembly68 | p18 | v1 | r0.6
23_assembly70 | p18 | v0 | r0.77
23_assembly70 | p18 | v1 | r0.82
2_assembly51 | p11 | v0 | r0.67
2_assembly51 | p11 | v1 | r0.82
3_assembly52 | p11 | v0 | r0.57
3_assembly52 | p11 | v1 | r0.56
4_assembly53 | p00 | v0 | r0.75
4_assembly53 | p00 | v1 | r0.86
5_assembly54 | p03 | v0 | r0.86
5_assembly54 | p03 | v1 | r0.71
6_assembly55 | p10 | v0 | r0.57
6_assembly55 | p10 | v1 | r0.82
7_assembly78 | p00 | v0 | r0.84
7_assembly78 | p00 | v1 | r0.83
8_assembly15 | p14 | v0 | r0.57
8_assembly15 | p14 | v1 | r0.83
9_assembly56 | p04 | v0 | r0.87
9_assembly56 | p04 | v1 | r0.71
